date,Close,negative,neutral,positive,total,positive_ratio,positive_ratio_ma,target,positive_ratio_ma_shift1,return_next,pos_ratio_lag1,close_lag1,close_lag2,return_today,return_lag1,return_ma3,pos_ratio_diff,sentiment_change_rate,close_ma5,close_std5,price_zscore,pred_prob,signal,strategy_return,cum_strategy,cum_hold
2024-01-15,134100,9.0,20.0,2.0,31.0,0.06451612903225806,0.08750081640179165,0,0.08470346090045133,-0.014914243102162605,0.08470346090045133,134100.0,136000.0,0.0,-0.013970588235294068,0.001585334508335201,0.002797355501340318,0.03302527985990955,135020.0,1630.0306745579978,-0.5644065564897844,,0,-0.0,1.0,0.9850857568978374
2024-01-16,132100,6.0,40.0,1.0,47.0,0.02127659574468085,0.07755331709259021,0,0.08750081640179165,-0.00832702498107496,0.08750081640179165,134100.0,134100.0,-0.014914243102162605,0.0,-0.009628277112485558,-0.00994749930920144,-0.11368464567832026,133960.0,1402.854233340015,-1.325868330290867,,0,-0.0,1.0,0.9768829231916479
2024-01-17,131000,6.0,45.0,2.0,53.0,0.03773584905660377,0.08162140134935371,1,0.07755331709259021,0.03969465648854964,0.07755331709259021,132100.0,134100.0,-0.00832702498107496,-0.014914243102162605,-0.007747089361079189,0.004068084256763499,0.05245532247069007,133460.0,1947.5625792256333,-1.2631173068534292,,0,0.0,1.0,1.0156599552572707
2024-01-18,136200,7.0,52.0,8.0,67.0,0.11940298507462686,0.07883770080445915,1,0.08162140134935371,0.037444933920704804,0.08162140134935371,131000.0,132100.0,0.03969465648854964,-0.00832702498107496,0.005484462801770691,-0.00278370054489456,-0.03410503248994512,133500.0,2013.7030565602272,1.340813379213961,,0,0.0,1.0,1.0536912751677852
2024-01-19,141300,8.0,48.0,4.0,60.0,0.06666666666666667,0.07507247378341816,1,0.07883770080445915,0.009200283085633476,0.07883770080445915,136200.0,131000.0,0.037444933920704804,0.03969465648854964,0.022937521809393163,-0.0037652270210409844,-0.04775921903633218,134940.0,4072.2229801424187,1.5618005278722655,,0,0.0,1.0,1.0633855331841908
2024-01-22,142600,6.0,42.0,1.0,49.0,0.02040816326530612,0.056560720345225704,0,0.07507247378341816,-0.012622720897615736,0.07507247378341816,141300.0,136200.0,0.009200283085633476,0.037444933920704804,0.028779957831629305,-0.01851175343819246,-0.2465850997743636,136640.0,5240.515241844069,1.1372927517529274,,0,-0.0,1.0,1.0499627143922445
2024-01-23,140800,8.0,41.0,6.0,55.0,0.10909090909090909,0.06910562225182974,1,0.056560720345225704,0.004971590909090828,0.056560720345225704,142600.0,141300.0,-0.012622720897615736,0.009200283085633476,0.011340832036240847,0.012544901906604039,0.2217952994593173,138380.0,4780.376554205745,0.5062362708374718,,0,0.0,1.0,1.0551826994780014
2024-01-24,141500,9.0,34.0,9.0,52.0,0.17307692307692307,0.08844006139758963,0,0.06910562225182974,-0.028975265017667895,0.06910562225182974,140800.0,142600.0,0.004971590909090828,-0.012622720897615736,0.0005163843657028563,0.019334439145759885,0.27978098620257996,140480.0,2481.330288373557,0.4110698220141349,,0,-0.0,1.0,1.0246085011185682
2024-01-25,137400,90.0,169.0,47.0,306.0,0.15359477124183007,0.09332460227861868,0,0.08844006139758963,-0.010189228529839833,0.08844006139758963,141500.0,140800.0,-0.028975265017667895,0.004971590909090828,-0.0122087983353976,0.004884540881029048,0.05522995805113928,140720.0,1969.0099034794112,-1.686126613245201,,0,-0.0,1.0,1.0141685309470545
2024-01-26,136000,15.0,69.0,13.0,97.0,0.13402061855670103,0.10294659540576644,0,0.09332460227861868,-0.007352941176470562,0.09332460227861868,137400.0,141500.0,-0.010189228529839833,-0.028975265017667895,-0.011397634212805633,0.00962199312714776,0.10310242842955275,139660.0,2820.9927330640185,-1.2974156073151932,,0,-0.0,1.0,1.0067114093959733
2024-01-29,135000,12.0,40.0,4.0,56.0,0.07142857142857142,0.10384658272988863,1,0.10294659540576644,0.014074074074074128,0.10294659540576644,136000.0,137400.0,-0.007352941176470562,-0.010189228529839833,-0.01550581157465943,0.0008999873241221923,0.008742273802983647,138140.0,2887.5595231960156,-1.0874234711963886,,0,0.0,1.0,1.0208799403430278
2024-01-30,136900,11.0,53.0,10.0,74.0,0.13513513513513514,0.10756718645049236,0,0.10384658272988863,-0.01607012417823228,0.10384658272988863,135000.0,136000.0,0.014074074074074128,-0.007352941176470562,-0.0011560318774120892,0.0037206037206037323,0.03582788785916291,137360.0,2488.573888796553,-0.18484482300119726,,0,-0.0,1.0,1.0044742729306488
2024-01-31,134700,13.0,59.0,9.0,81.0,0.1111111111111111,0.0987149275982335,0,0.10756718645049236,-0.014847809948032697,0.10756718645049236,136900.0,135000.0,-0.01607012417823228,0.014074074074074128,-0.0031163304268762384,-0.008852258852258862,-0.08229516030274808,136000.0,1168.3321445547922,-1.1126972805283737,,0,-0.0,1.0,0.9895600298284862
2024-02-01,132700,15.0,85.0,6.0,106.0,0.05660377358490566,0.08485907079010144,1,0.0987149275982335,0.016578749058025588,0.0987149275982335,134700.0,136900.0,-0.014847809948032697,-0.01607012417823228,-0.00561462001739695,-0.013855856808132061,-0.14036232558995476,135060.0,1578.923684032892,-1.4946890871711294,,0,0.0,1.0,1.005965697240865
2024-02-02,134900,9.0,52.0,8.0,69.0,0.11594202898550725,0.08227641513707376,0,0.08485907079010144,-0.01927353595255743,0.08485907079010144,132700.0,134700.0,0.016578749058025588,-0.014847809948032697,-0.004779728356079797,-0.0025826556530276767,-0.030434644510966447,134840.0,1489.2951352905172,0.04028751493121327,,0,-0.0,1.0,0.9865771812080537
2024-02-05,132300,7.0,44.0,10.0,61.0,0.16393442622950818,0.1475323535780239,1,0.08227641513707376,0.04308390022675734,0.08227641513707376,134900.0,132700.0,-0.01927353595255743,0.016578749058025588,-0.005847532280854846,0.06525593844095015,0.7931305506229551,134300.0,1860.1075237738273,-1.0752066611409408,,0,0.0,1.0,1.029082774049217
2024-02-06,138000,9.0,55.0,15.0,79.0,0.189873417721519,0.1553521082332216,0,0.1475323535780239,0.0,0.1475323535780239,132300.0,134900.0,0.04308390022675734,-0.01927353595255743,0.013463037777408501,0.007819754655197686,0.053003659641762235,134520.0,2265.3917983430592,1.536158117348762,,0,0.0,1.0,1.029082774049217
2024-02-07,138000,5.0,41.0,8.0,54.0,0.14814814814814814,0.16064311352422692,1,0.1553521082332216,0.034782608695652195,0.1553521082332216,138000.0,132300.0,0.0,0.04308390022675734,0.007936788091399971,0.0052910052910053185,0.03405814926606743,135180.0,2758.079041651997,1.0224507555486568,,0,0.0,1.0,1.0648769574944073
2024-02-08,142800,10.0,50.0,16.0,76.0,0.21052631578947367,0.1826320481248795,1,0.16064311352422692,0.050420168067226934,0.16064311352422692,138000.0,138000.0,0.034782608695652195,0.0,0.025955502974136513,0.02198893460065257,0.13688065500135105,137200.0,3935.0984739902,1.4230901811007504,,0,0.0,1.0,1.1185682326621926
2024-02-13,150000,10.0,106.0,11.0,127.0,0.08661417322834646,0.17651166820842978,0,0.1826320481248795,-0.008666666666666711,0.1826320481248795,142800.0,138000.0,0.050420168067226934,0.034782608695652195,0.028400925587626375,-0.006120379916449703,-0.03351208059751232,140220.0,6612.261337848044,1.4790703966916854,,0,-0.0,1.0,1.108873974645787
2024-02-14,148700,11.0,52.0,6.0,69.0,0.08695652173913043,0.16777000729285582,0,0.17651166820842978,0.0,0.17651166820842978,150000.0,142800.0,-0.008666666666666711,0.050420168067226934,0.025512036698737472,-0.008741660915573962,-0.0495245498742416,143500.0,5707.01322935211,0.9111596190552954,,0,0.0,1.0,1.108873974645787
2024-02-15,148700,4.0,48.0,5.0,57.0,0.08771929824561403,0.15022614764373304,0,0.16777000729285582,-0.012777404169468709,0.16777000729285582,148700.0,150000.0,0.0,-0.008666666666666711,0.01391783380018674,-0.01754385964912278,-0.10457089400072916,145640.0,5103.234268579094,0.599619738964483,,0,-0.0,1.0,1.0947054436987325
2024-02-16,146800,4.0,44.0,4.0,52.0,0.07692307692307693,0.1408069953674379,1,0.15022614764373304,0.03065395095367851,0.15022614764373304,148700.0,148700.0,-0.012777404169468709,0.0,-0.00714802361204514,-0.00941915227629514,-0.0626998190663387,147400.0,2813.36097932704,-0.2132680464429847,,0,0.0,1.0,1.1282624906785983
2024-02-19,151300,6.0,70.0,10.0,86.0,0.11627906976744186,0.08080046443067442,0,0.1408069953674379,-0.011235955056179803,0.1408069953674379,146800.0,148700.0,0.03065395095367851,-0.012777404169468709,0.0059588489280699335,-0.06000653093676349,-0.42616157514174324,149100.0,1677.7961735562517,1.3112439011807295,,0,-0.0,1.0,1.11558538404176
2024-02-20,149600,12.0,53.0,9.0,74.0,0.12162162162162163,0.08580152848685656,0,0.08080046443067442,-0.004010695187165791,0.08080046443067442,151300.0,146800.0,-0.011235955056179803,0.03065395095367851,0.0022135305760099997,0.005001064056182142,0.06189400137016521,149020.0,1633.0952207388275,0.35515381628365955,,0,-0.0,1.0,1.1111111111111112
2024-02-21,149000,15.0,65.0,11.0,91.0,0.12087912087912088,0.09064761407828378,1,0.08580152848685656,0.05033557046979875,0.08580152848685656,149600.0,151300.0,-0.004010695187165791,-0.011235955056179803,0.005135766903444305,0.004846085591427227,0.05648017788132487,149080.0,1623.884232326923,-0.04926459559581109,,0,0.0,1.0,1.167039522744221
2024-02-22,156500,23.0,183.0,22.0,228.0,0.09649122807017543,0.09190074691036397,1,0.09064761407828378,0.03130990415335466,0.09064761407828378,149000.0,149600.0,0.05033557046979875,-0.004010695187165791,0.011696306742151052,0.0012531328320801866,0.013824223007105063,150640.0,3650.0684925080513,1.6054493256846945,,0,0.0,1.0,1.2035794183445192
